id,question,answer,description,category_id,difficulty_id,expected_output
23,"numbers = [0, 1, 2, 3, 4]
if numbers[2] and numbers[4]:
    print(""Yes"")
else:
    print(""No"")

上記のコードを実行すると、出力される値は？

１．Yes
２．No
３．IndexError
４．TypeError"," 1. Yes","numbers[2] は 2、numbers[4] は 4。0 以外の数値は True と評価されるので if 条件は True になり ""Yes"" が出力される。",2,2,
24,"x = 5
y = 10
result = ""Even"" if (x * y) % 2 == 0 else ""Odd""
print(result)

上記のコードを実行すると、出力される値は？

１．Even
２．Odd
３．None
４．SyntaxError","1. Even","x * y = 5 * 10 = 50。50 % 2 == 0 なので True となり、""Even"" が出力される。",2,3,
25,"nums = [10, 20, 30, 40, 50]
print(nums[1:4])

上記のコードを実行すると、出力される値は？

[10, 20, 30]
[20, 30, 40]
[30, 40, 50]
IndexError","２．[20, 30, 40]","nums[1:4] の意味：
開始インデックス 1 → 20（インデックスは 0 から始まる）
終了インデックス 4（4番目の要素は含まない）

取得される範囲：nums[1]（20）, nums[2]（30）, nums[3]（40）
nums[4]（50）は含まれない

🔹 ポイント
スライスの範囲 start:end の end は含まれない！
リストのインデックスは 0 から始まる
nums[1:4] → 1番目から3番目までの要素が取得される（end のインデックスは含まれない",1,1,
26,"a, b, c = (1, 2, 3)
print(b)

上記のコードを実行すると、出力される値は？


1. 1
2. 2
3. 3
4. TypeError","2. 2","このコードでは、「タプルのアンパック」 を使っています。
アンパック（unpacking）は、タプルの各要素を 個別の変数に代入 できる便利な機能です。

＜処理の流れ＞
右辺のタプル (1, 2, 3)
→ 3つの要素（1, 2, 3）が含まれる。

左辺の a, b, c にそれぞれ代入

a = 1
b = 2 ✅ ← print(b) で 2 が出力
c = 3

＜ ポイント＞
✅ タプルのアンパックでは、左辺と右辺の要素数が一致する必要がある！
（例えば、a, b = (1, 2, 3) にすると ValueError になる）

✅ リストでも同じようにアンパック可能

x, y, z = [10, 20, 30]
print(y)  # ✅ 出力: 20

✅ 不要な変数を _ で無視できる

a, _, c = (1, 2, 3)
print(c)  # ✅ 出力: 3  （`_` の部分は無視）",1,1,
27,"data = {""name"": ""Alice"", ""age"": 25, ""city"": ""Tokyo""}
print(list(data.keys()))

 上記のコードを実行すると、出力される値は？

1. [""Alice"", 25, ""Tokyo""]
2. [""name"", ""age"", ""city""]
3. dict_keys([""name"", ""age"", ""city""])
4. (""name"", ""age"", ""city"")","2. [""name"", ""age"", ""city""]","このコードでは、辞書の キー（key） を取得するために .keys() メソッド を使っています。

辞書 data には次のキーと値がある

{
    ""name"": ""Alice"",
    ""age"": 25,
    ""city"": ""Tokyo""
}

.keys() を使うと、辞書のキーだけを取得
list() でリストに変換

dict_keys は リストのように扱える けど、明示的に list() に変換するとリストとして出力される。

＜関連知識＞

値を取得したい場合
list(data.values())  # ➝ ['Alice', 25, 'Tokyo']

キーと値のペアを取得
list(data.items())  # ➝ [('name', 'Alice'), ('age', 25), ('city', 'Tokyo')]",10,1,
28,"x = 0
while x < 5:
    if x == 3:
        break
    x += 1
print(x)

上記のコードを実行すると、出力される値は？

1️⃣ 3
2️⃣ 4
3️⃣ 5
4️⃣ 6","1️⃣ 3","🔹 while ループの動作
このコードでは、x = 0 から始まり、x < 5 の間 while ループが繰り返されます。

x は 0 から始まり、毎回 x += 1 されていきます。
しかし、x == 3 になった時点で break が実行され、ループが強制終了します。

🔹 ループの流れ
ループ回数	x の値	if x == 3 の判定	break 実行
1回目	0 → 1	False	続行
2回目	1 → 2	False	続行
3回目	2 → 3	**True**	**ループ終了**

ループが終了した後、print(x) が実行されるので、 最終的に 3 が出力されます。",2,2,
29,"fruits = [""apple"", ""banana"", ""cherry""]
for index, fruit in enumerate(fruits, start=1):
    print(index, fruit)
上記のコードを実行すると、出力される内容は？

1️⃣
0 apple
1 banana
2 cherry

2️⃣
1 apple
2 banana
3 cherry

3️⃣
apple 1
banana 2
cherry 3

4️⃣ 
エラーが発生する
","正解は 2️⃣","✅ ポイント
・ enumerate() を使うと、リストの要素とインデックスを同時に取得できる
・ デフォルトのインデックスは 0 から始まるが、start=1 を指定すると 1 から開始する
・ Python では for ループでリストを回す際に enumerate() を使うと可読性が上がる",2,2,
30,"numbers = [1, 2, 3, 4, 5]
squared = [x**2 for x in numbers if x % 2 == 0]
print(squared)

上記のコードを実行すると、出力されるリストは？
1️⃣ [1, 4, 9, 16, 25]
2️⃣ [4, 16]
3️⃣ [2, 4]
4️⃣ [1, 9, 25]","2️⃣ [4, 16]","🔹 リスト内包表記の動作
リスト内包表記（List Comprehension）は、リストを簡潔に作成する方法です。

🔹このコードを分解すると、次のようになります。
squared = [x**2 for x in numbers if x % 2 == 0]
x**2 → x の 2乗 を計算
for x in numbers → numbers の各要素 x を順番に処理
if x % 2 == 0 → 偶数 (x % 2 == 0) の場合のみ 2乗をリストに追加

✅ ポイント
1️⃣ リスト内包表記は、[処理 for 変数 in イテラブル if 条件] の形を取る
2️⃣ if 条件を追加すると、特定の要素だけをリストに含めることができる
3️⃣ x**2 で平方（2乗）を計算することで、偶数の平方リストを作成した",2,3,
31,"names = [""Alice"", ""Bob"", ""Charlie""]
scores = [85, 92, 78]
for name, score in zip(names, scores):
    print(f""{name}: {score}"")

上記のコードを実行すると、出力される内容は？

1️⃣
Alice: 85
Bob: 92
Charlie: 78

2️⃣
Alice: 85
Bob: 92
Charlie: 78
None: None

3️⃣
Alice Bob Charlie: 85 92 78

4️⃣ エラーが発生する","1️⃣
Alice: 85
Bob: 92
Charlie: 78","🔹 zip() 関数の動作
zip() 関数は、複数のリスト（イテラブル）を同時にループするための関数 です。
このコードでは、names と scores の対応する要素を ペアとして取得 します。
したがって、正解は 1️⃣ です！ 

✅ ポイント
1️⃣ zip() を使うと、複数のリストを同時にループできる
2️⃣ リストの要素数が異なる場合、短い方の要素数に合わせてループが終了する
3️⃣ f""{変数}: {変数}"" を使うと、フォーマットされた文字列を作成できる",3,3,
32,"set1 = {1, 2, 3, 4}
set2 = {3, 4, 5, 6}
result = set1 & set2
print(result)

 上記のコードを実行すると、出力される内容は？
1️⃣ {1, 2, 3, 4, 5, 6}
2️⃣ {3, 4}
3️⃣ {1, 2, 5, 6}
4️⃣ TypeError が発生する","2️⃣ {3, 4}","🔹 set（集合）とは？
Python の set 型（集合）は、重複しない要素を持つデータ構造 で、数学の集合演算を行うことができます。
🔹 & 演算子（積集合）
set1 & set2 は 「積集合（共通部分）」 を求める演算です。
両方の集合に含まれる要素だけが残ります。

したがって、正解は 2️⃣ {3, 4} です！

✅ ポイント
1️⃣ set1 & set2 は「共通部分（積集合）」を求める
2️⃣ set1 | set2（和集合）を使うと、全要素の重複を除いて結合できる
3️⃣ set1 - set2（差集合）を使うと、set1 にあって set2 にない要素が得られる",3,3,
33,"data = {""name"": ""Alice"", ""age"": 25}
key = ""gender""
value = data.get(key, ""unknown"")
print(value)

上記のコードを実行すると、出力される内容は？
1️⃣ ""gender""
2️⃣ ""unknown""
3️⃣ None
4️⃣ KeyError が発生する","2️⃣ ""unknown""","🔹 dict.get(key, default) の動作
dict.get(key, default) は、辞書 dict から指定した key の値を取得するメソッドです。

・指定した key が辞書に 存在する場合 → その値を返す
・存在しない場合 → default の値を返す（指定しなければ None を返す）

🔹 コードの動作
１．data は {""name"": ""Alice"", ""age"": 25} の辞書
２．key = ""gender"" は、辞書 data に 存在しないキー
３．data.get(key, ""unknown"") を実行
４．""gender"" キーが辞書にないため、デフォルト値 ""unknown"" が返る
５．出力: ""unknown""",10,3,
34,"try:
    result = 10 / 0
except ZeroDivisionError:
    print(""Error: Division by zero"")
else:
    print(""Success:"", result)

上記のコードを実行すると、出力される内容は？

1️⃣
Success: 0
2️⃣
Error: Division by zero
3️⃣
ZeroDivisionError: division by zero
4️⃣ 
エラーが発生せず、何も出力されない","2️⃣　Error: Division by zero","🔹 try-except の動作
Python の try-except 構文は エラー（例外）をキャッチしてプログラムのクラッシュを防ぐ ために使われます。

🔹 コードの動作
try ブロック内で 10 / 0 を計算しようとする
ゼロ除算 (ZeroDivisionError) が発生！
except ZeroDivisionError: によってキャッチされる
print(""Error: Division by zero"") が実行される
else ブロックは実行されない（try 内でエラーが起こった場合、else はスキップ）
よって、正解は 2️⃣ です！",7,3,
35,"multiply = lambda x, y: x * y
result = multiply(3, 4)
print(result)

上記のコードを実行すると、出力される値は？
1️⃣ 7
2️⃣ 12
3️⃣ 34
4️⃣ TypeError が発生する","2️⃣ 12","🔹 lambda 関数とは？
Python の lambda 関数（無名関数）は、関数を簡潔に定義できる 特殊な書き方です。
通常の def で書く関数を、1行でシンプルに表現 できます。

multiply = lambda x, y: x * y
これは、次の def を使った関数と同じ意味になります。
def multiply(x, y):
    return x * y

🔹 コードの動作
１．lambda x, y: x * y という 無名関数 を作成し、それを multiply に代入
２．multiply(3, 4) を実行
３．3 * 4 = 12 を計算
４．print(result) により 12 が出力される

✅ ポイント
1️⃣ lambda 関数は、一時的に簡単な関数を作りたいときに便利
2️⃣ lambda x, y: x * y のように : の後に返り値を書く
3️⃣ 関数オブジェクトとして lambda を変数に代入すれば、普通の関数のように使える",3,3,
36,"data = [(""Alice"", 25), (""Bob"", 20), (""Charlie"", 30)]
data.sort(key=lambda x: x[1])
print(data)

上記のコードを実行すると、出力されるリストは？
1️⃣ [(""Alice"", 25), (""Bob"", 20), (""Charlie"", 30)]
2️⃣ [(""Charlie"", 30), (""Alice"", 25), (""Bob"", 20)]
3️⃣ [(""Bob"", 20), (""Alice"", 25), (""Charlie"", 30)]
4️⃣ TypeError が発生する","3️⃣ [(""Bob"", 20), (""Alice"", 25), (""Charlie"", 30)]","🔹 sort() メソッドの動作
sort() メソッドは、リストの要素を並び替える メソッドです。
key 引数に lambda x: x[1] を指定すると、各タプルの 2 番目の要素（年齢） を基準にソートされます。

✅ ポイント
1️⃣ sort() はリストの要素を並び替えるメソッド（破壊的変更を行う）
2️⃣ key=lambda x: x[1] は「各要素（タプル）の 2 番目の値（年齢）」でソートすることを意味する
3️⃣ リストはデフォルトで昇順（小さい値→大きい値）に並び替えられる
4️⃣ 降順（大きい値→小さい値）にする場合は、sort(..., reverse=True) を使う",10,3,
37,"keys = [""name"", ""age"", ""city""]
values = [""Alice"", 25, ""New York""]
data = {k: v for k, v in zip(keys, values)}
print(data)

 上記のコードを実行すると、出力される辞書は？
1️⃣ {""name"": ""Alice"", ""age"": 25, ""city"": ""New York""}
2️⃣ {""Alice"": ""name"", 25: ""age"", ""New York"": ""city""}
3️⃣ [(""name"", ""Alice""), (""age"", 25), (""city"", ""New York"")]
4️⃣ TypeError が発生する","1️⃣ {""name"": ""Alice"", ""age"": 25, ""city"": ""New York""}","🔹 辞書の内包表記とは？
Python では 辞書（dict）を内包表記 を使って簡潔に作成できます。

{key: value for key, value in zip(keys, values)}
これは zip(keys, values) で 2つのリストをペアにして辞書を作成 する方法です。

🔹 コードの動作
１．zip(keys, values) の結果
[(""name"", ""Alice""), (""age"", 25), (""city"", ""New York"")]

２．辞書の内包表記で辞書を作成
{
    ""name"": ""Alice"",
    ""age"": 25,
    ""city"": ""New York""
}

３．最終的な data の内容
{""name"": ""Alice"", ""age"": 25, ""city"": ""New York""}

🔹 実行結果
{'name': 'Alice', 'age': 25, 'city': 'New York'}

よって、正解は 1️⃣

✅ ポイント
１． zip(keys, values) を使うと、2つのリストを辞書のキーと値に変換できる
２．辞書の内包表記 {k: v for k, v in zip(keys, values)} でシンプルに辞書を作成できる
３． リストの長さが違う場合、zip() は短い方の長さに合わせる（余った要素は無視される）",10,3,
38,"numbers = [1, 2, 3, 4, 5]
squared = list(map(lambda x: x ** 2, numbers))
print(squared)

上記のコードを実行すると、出力されるリストは？
1️⃣ [1, 4, 9, 16, 25]
2️⃣ [2, 4, 6, 8, 10]
3️⃣ [1, 2, 3, 4, 5]
4️⃣ TypeError が発生する","1️⃣ [1, 4, 9, 16, 25]","🔹 map() 関数とは？
map() 関数は、リストやタプルの 各要素に関数を適用 し、新しいイテラブル（map オブジェクト）を返します。
書式は次のとおりです：map(関数, イテラブル)
ポイント：
第1引数: 適用する関数（ここでは lambda x: x ** 2）
第2引数: 処理対象となるイテラブル（リスト、タプルなど）

🔹 コードの動作
１．numbers = [1, 2, 3, 4, 5]
２．map(lambda x: x ** 2, numbers) を実行
　各要素 x に x ** 2 を適用
　計算結果: [1, 4, 9, 16, 25]
３．map() の戻り値は map オブジェクトなので、list() でリストに変換
４．最終的なリストの内容
　[1, 4, 9, 16, 25]",3,3,
39,"numbers = [10, 15, 20, 25, 30]
filtered = list(filter(lambda x: x % 2 == 0, numbers))
print(filtered)

上記のコードを実行すると、出力されるリストは？
1️⃣ [10, 20, 30]
2️⃣ [15, 25]
3️⃣ [10, 15, 20, 25, 30]
4️⃣ TypeError が発生する","1️⃣ [10, 20, 30]","🔹 filter() 関数とは？
filter() 関数は、リストやタプルの 各要素に関数を適用し、True を返した要素のみを残す 関数です。
書式は次のとおりです：filter(関数, イテラブル)
ポイント：
・第1引数: True または False を返す関数（ここでは lambda x: x % 2 == 0）
・第2引数: 処理対象となるイテラブル（リスト、タプルなど）
・戻り値は filter オブジェクトなので、list() でリストに変換するのが一般的

🔹 コードの動作
１．numbers = [10, 15, 20, 25, 30]
２．filter(lambda x: x % 2 == 0, numbers) を実行
３．各要素 x を x % 2 == 0 でチェックし、True のものだけ残す
　判定結果:
　　10 % 2 == 0 ✅ (残る)
　　15 % 2 == 0 ❌ (削除)
　　20 % 2 == 0 ✅ (残る)
　　25 % 2 == 0 ❌ (削除)
　　30 % 2 == 0 ✅ (残る)
４．最終的なリストの内容
　[10, 20, 30]
よって、正解は 1️⃣

✅ ポイント
１． filter() は、特定の条件を満たす要素だけを抽出するときに便利！
２． lambda x: x % 2 == 0 のように True/False を返す関数を使う
３． 戻り値は filter オブジェクトなので、list() でリストに変換するのが一般的",3,3,
40,"set1 = {1, 2, 3, 4, 5}
set2 = {4, 5, 6, 7, 8}
result = set1 | set2
print(result)

上記のコードを実行すると、出力される内容は？
1️⃣ {1, 2, 3, 4, 5, 6, 7, 8}
2️⃣ {4, 5}
3️⃣ {6, 7, 8}
4️⃣ TypeError が発生する","1️⃣ {1, 2, 3, 4, 5, 6, 7, 8}","🔹 set（集合）とは？
Python の set 型（集合）は、重複しない要素を持つデータ構造 で、数学の集合演算を行うことができます。

🔹 | 演算子（和集合）
set1 | set2 は、「和集合」 を求める演算です。
両方の集合の要素をすべて含み、重複は削除される のが特徴です。

🔹 コードの動作
１．set1 の要素 → {1, 2, 3, 4, 5}
２．set2 の要素 → {4, 5, 6, 7, 8}
３．set1 | set2（和集合）
・両方の集合のすべての要素を含む
・重複する 4, 5 は 1 回だけ含まれる
・最終的な集合の内容
　{1, 2, 3, 4, 5, 6, 7, 8}

✅ ポイント
１． set1 | set2 は「和集合（union）」を求める演算子
２． 和集合は、両方の集合の要素をすべて含むが、重複は排除される
３． set1.union(set2) も同じ意味（| は union() の省略形）",3,3,
41,"a = [1, 2, 3]
b = a
print(a is b)

上記のコードを実行すると、出力される値は？
1️⃣ True
2️⃣ False
3️⃣ None
4️⃣ TypeError が発生する","1️⃣ True","🔹 is 演算子とは？
is 演算子は、2つの変数が同じオブジェクトを参照しているかどうか を判定する演算子です。

a == b → 値 が等しいかを判定（内容が同じかどうか）
a is b → オブジェクトID が同じかを判定（同じメモリを指しているかどうか）

🔹 コードの動作
１．a = [1, 2, 3] により、リスト [1, 2, 3] が作成される
２．b = a により、b は a と同じオブジェクトを指す
３．a is b を評価すると、True になる

🔹 is と == の違い
x = [1, 2, 3]
y = [1, 2, 3]

print(x == y)  # ✅ True（リストの内容が同じ）
print(x is y)  # ❌ False（別のオブジェクト）

✅ ポイント
✔️ is はオブジェクトID（メモリアドレス）を比較する
✔️ == はオブジェクトの値を比較する
✔️ リストや辞書のようなミュータブル（変更可能）なデータ型は、コピーすると別オブジェクトになることに注意！
📌 例えば：
a = [1, 2, 3]
b = a  # `a` と `b` は同じオブジェクト

c = a[:]  # `a` のコピー（新しいリスト）
print(a is c)  # False（新しいオブジェクト）
print(a == c)  # True（内容は同じ）

",1,3,
42,"numbers = [1, 2, 3, 4, 5]
print(3 in numbers)

上記のコードを実行すると、出力される値は？
1️⃣ True
2️⃣ False
3️⃣ None
4️⃣ TypeError が発生する","1️⃣ True","
正解です！🎉

🔹 in 演算子とは？
Python の in 演算子は、リスト・タプル・辞書・セットなどのデータ型に、特定の要素が含まれているかを判定する 演算子です。

書式：　値 in コレクション  
　　　（ 値がコレクション内に含まれている場合 True、そうでなければ False）

🔹 コードの動作
１．numbers は [1, 2, 3, 4, 5] のリスト
２．3 in numbers を評価
３．リストに 3 が含まれているので True

🔹 in 演算子の応用
📌 辞書で使う場合（キーを検索）
data = {""name"": ""Alice"", ""age"": 25}
print(""name"" in data)  # ✅ True（キーが存在する）
print(25 in data)      # ❌ False（値は検索対象にならない）

📌 集合（set）で使う場合
unique_numbers = {10, 20, 30, 40}
print(20 in unique_numbers)  # ✅ True
print(50 in unique_numbers)  # ❌ False
✅ リストやタプルより set の方が in 演算子の検索速度が速い！（ハッシュテーブルを使用）

✅ ポイント
✔️ in 演算子は、リスト・タプル・辞書・セットなどで使える
✔️ リスト内の要素が存在するかを in で判定すると True / False が返る
✔️ 辞書では in は「キー」の存在を確認する（値は対象外）
",1,2,
43,"numbers = [1, 2, 2, 3, 4, 2, 5]
print(numbers.count(2))

上記のコードを実行すると、出力される値は？
1️⃣ 1
2️⃣ 2
3️⃣ 3
4️⃣ TypeError が発生する","3️⃣ 3","🔹 count() メソッドとは？
count() メソッドは、リストの中に指定した要素がいくつ含まれているかを数える メソッドです。

書式：リスト.count(検索する要素)
　　・指定した 要素がリストの中に何回登場するか を返す
　　・存在しない場合は 0 を返す

🔹 コードの動作
１．numbers は [1, 2, 2, 3, 4, 2, 5]
２．numbers.count(2) を実行
　　・2 はリスト内に 3回 出現している
３．最終的な出力
　　3
✅ ポイント
✔️ count() を使うと、リスト内の特定の要素の出現回数を簡単に取得できる
✔️ 存在しない要素を検索すると 0 が返る（エラーにはならない）
✔️ リスト内に何回特定の要素が登場するかを知りたいときに便利！",10,2,
44,"list1 = [1, 2, 3]
list2 = [4, 5, 6]
list1.extend(list2)
print(list1)

上記のコードを実行すると、出力されるリストは？
1️⃣ [1, 2, 3, [4, 5, 6]]
2️⃣ [1, 2, 3, 4, 5, 6]
3️⃣ [4, 5, 6, 1, 2, 3]
4️⃣ TypeError が発生する","2️⃣ [1, 2, 3, 4, 5, 6]","🔹 extend() メソッドとは？
extend() メソッドは、リストの末尾に別のリストの要素を追加する メソッドです。
append() とは異なり、リストの中身を展開して追加する のが特徴です。

書式：リスト1.extend(リスト2)
　　・リスト1 の末尾に リスト2 の要素が展開されて追加される
　　・リスト1 自体が変更される（破壊的変更）

🔹 コードの動作
１．list1 = [1, 2, 3]
２．list2 = [4, 5, 6]
３．list1.extend(list2) を実行
・list1 の末尾に list2 の 中身（要素） を追加
・結果: [1, 2, 3, 4, 5, 6]
４．最終的なリストの内容
　　[1, 2, 3, 4, 5, 6]

✅ ポイント
✔️ extend() は、リストの要素を展開して追加するメソッド
✔️ 元のリスト (list1) が変更される（破壊的変更）
✔️ append() との違いを理解することが重要！

📌 append() との違い
list1.append(list2)  # list2 全体が 1 つの要素として追加される
print(list1)  # ❌ [1, 2, 3, [4, 5, 6]]

list1 = [1, 2, 3]
list1.extend(list2)  # list2 の要素が展開されて追加される
print(list1)  # ✅ [1, 2, 3, 4, 5, 6]

✅ リストを結合する場合は extend() を使うのがベスト！
",10,2,
45,"numbers = [5, 2, 9, 1, 5, 6]
sorted_numbers = sorted(numbers)
print(sorted_numbers)

 上記のコードを実行すると、出力されるリストは？
1️⃣ [5, 2, 9, 1, 5, 6]
2️⃣ [9, 6, 5, 5, 2, 1]
3️⃣ [1, 2, 5, 5, 6, 9]
4️⃣ TypeError が発生する","3️⃣ [1, 2, 5, 5, 6, 9]","🔹 sorted() 関数とは？
sorted() 関数は、リストやタプルなどのイテラブルを並び替えて新しいリストを作成する関数です。
sort() メソッドと違い、元のリストを変更せず、新しいリストを返す のが特徴です。

🔹 コードの動作
１．numbers = [5, 2, 9, 1, 5, 6]
２．sorted(numbers) を実行
　・リストの要素が 昇順（小さい順） にソートされる
　・結果: [1, 2, 5, 5, 6, 9]
３．最終的なリストの内容
　[1, 2, 5, 5, 6, 9]

✅ ポイント
✔️ sorted() は、新しいソート済みリストを返す（元のリストは変更しない）
✔️ sort() メソッドとの違いを理解することが重要！
✔️ 降順（大きい順）にしたい場合は sorted(numbers, reverse=True) を使う

📌 sort() メソッドとの違い
◆sorted() は新しいリストを返す（元のリストは変更されない）

numbers = [5, 2, 9, 1, 5, 6]
sorted_numbers = sorted(numbers)
print(sorted_numbers)  # ✅ [1, 2, 5, 5, 6, 9]
print(numbers)  # ✅ [5, 2, 9, 1, 5, 6] （元のリストは変更なし）

◆sort() は元のリストを直接変更する

numbers.sort()
print(numbers)  # ✅ [1, 2, 5, 5, 6, 9] （元のリストが変更される）

✅ 元のリストを保持したい場合は sorted() を使う！",10,3,
46,"list1 = [""a"", ""b"", ""c""]
list2 = [1, 2, 3]
result = list(zip(list1, list2))
print(result)

上記のコードを実行すると、出力されるリストは？
1️⃣ [[""a"", 1], [""b"", 2], [""c"", 3]]
2️⃣ [(""a"", 1), (""b"", 2), (""c"", 3)]
3️⃣ [(""a"", ""b"", ""c""), (1, 2, 3)]
4️⃣ TypeError が発生する","2️⃣ [(""a"", 1), (""b"", 2), (""c"", 3)]","🔹 zip() 関数とは？
zip() 関数は、複数のリスト（イテラブル）を対応する要素ごとにペアにしてまとめる 関数です。

書式：zip(イテラブル1, イテラブル2, ...)
　　・同じインデックスの要素をペアにする
　　・戻り値は zip オブジェクト（イテレータ）なので、list() でリスト化することが多い
　　・対応する要素がなくなった時点で終了（長さが異なる場合、短い方に合わせる）

🔹 コードの動作
１．list1 = [""a"", ""b"", ""c""]
２．list2 = [1, 2, 3]
３．zip(list1, list2) により、対応する要素をタプルにまとめる
・(""a"", 1)
・(""b"", 2)
・(""c"", 3)
４．最終的なリストの内容
　　[(""a"", 1), (""b"", 2), (""c"", 3)]

✅ ポイント
✔️ zip() は、リストの対応する要素をタプルにまとめる
✔️ zip() の戻り値は zip オブジェクトなので、list() や tuple() で明示的に変換するのが一般的
✔️ リストの長さが異なる場合、短い方に合わせる（余った要素は無視される）

📌 リストの長さが異なる場合
list1 = [""a"", ""b"", ""c"", ""d""]
list2 = [1, 2]
result = list(zip(list1, list2))
print(result)  # [('a', 1), ('b', 2)]  ← 'c' と 'd' は無視される

📌 タプルではなくリストのリストにする場合
list1 = [""a"", ""b"", ""c""]
list2 = [1, 2, 3]
result = [list(pair) for pair in zip(list1, list2)]
print(result)  # [['a', 1], ['b', 2], ['c', 3]]

✅ データのペアリングや辞書の作成に便利！",10,3,
